narrative,Jaccard,# Sentences,# Characters,# Tokens,Text
Napoleon: Early career,1.0,2.0,204.0,35.0,"Upon graduating in September 1785, Bonaparte was commissioned a second lieutenant in La Fère artillery regiment. He served in Valence and Auxonne until after the outbreak of the French Revolution in 1789."
Napoleon: Early career,0.74,4.0,475.0,84.0,"Bonaparte was a fervent Corsican nationalist during this period. He asked for leave to join his mentor Pasquale Paoli, when Paoli was allowed to return to Corsica by the National Assembly. But Paoli had no sympathy for Napoleon, as he deemed his father a traitor for having deserted the cause of Corsican independence. He spent the early years of the Revolution in Corsica, fighting in a complex three-way struggle among royalists, revolutionaries, and Corsican nationalists."
Napoleon: Early career,0.29,3.0,721.0,120.0,"Napoleon embraced the ideals of the Revolution, becoming a supporter of the Jacobins and joining the pro-French Corsican Republicans who opposed Paoli's policy and his aspirations to secede. He was given command over a battalion of volunteers and promoted to captain in the regular army in 1792, despite exceeding his leave of absence and leading a riot against French troops. When Corsica declared formal secession from France and requested the protection of the British government, Napoleon and his commitment to the French Revolution came into conflict with Paoli, who had decided to sabotage the Corsican contribution to the Expédition de Sardaigne by preventing a French assault on the Sardinian island La Maddalena."
Napoleon: Early career,0.1,4.0,395.0,80.0,"Bonaparte and his family were compelled to flee to Toulon on the French mainland in June 1793 because of the split with Paoli. Although he was born ""Napoleone Buonaparte"", it was after this that Napoleon began styling himself ""Napoléon Bonaparte"". His family did not drop the name Buonaparte until 1796. The first known record of him signing his name as Bonaparte was at the age of 27 (in 1796)."
Napoleon: Early career,0.06,1.0,232.0,39.0,"In July 1793, Bonaparte published a pro-republican pamphlet, Le souper de Beaucaire (Supper at Beaucaire), which gained him the support of Augustin Robespierre, the younger brother of the Revolutionary leader Maximilien Robespierre."
Colombo: Geographical considerations,0.37,3.0,564.0,102.0,"Despite a popular misconception to the contrary, nearly all educated Westerners of Columbus's time knew that the Earth is spherical, a concept that had been understood since antiquity. The techniques of celestial navigation, which uses the position of the Sun and the stars in the sky, had long been in use by astronomers and were beginning to be implemented by mariners. As far back as the 3rd century BC, Eratosthenes had correctly computed the circumference of the Earth by using simple geometry and studying the shadows cast by objects at two remote locations."
Colombo: Geographical considerations,0.1,2.0,316.0,54.0,"In the 1st century BC, Posidonius confirmed Eratosthenes's results by comparing stellar observations at two separate locations. These measurements were widely known among scholars, but Ptolemy's use of the smaller, old-fashioned units of distance led Columbus to underestimate the size of the Earth by about a third."
Colombo: Geographical considerations,0.07,1.0,525.0,94.0,"Three cosmographical parameters determined the bounds of Columbus's enterprise: the distance across the ocean between Europe and Asia, which depended on the extent of the oikumene, i.e., the Eurasian land-mass stretching east–west between Spain and China; the circumference of the Earth; and the number of miles or leagues in a degree of longitude, which was possible to deduce from the theory of the relationship between the size of the surfaces of water and the land as held by the followers of Aristotle in medieval times."
Colombo: Geographical considerations,0.08,1.0,444.0,89.0,"From Pierre d'Ailly's Imago Mundi (1410), Columbus learned of Alfraganus's estimate that a degree of latitude (equal to approximately a degree of longitude along the equator) spanned 56.67 Arabic miles (equivalent to 66.2 nautical miles, 122.6 kilometers or 76.2 mi), but he did not realize that this was expressed in the Arabic mile (about 1,830 meters or 1.14 mi) rather than the shorter Roman mile (about 1,480 m) with which he was familiar."
Elizabeth II Death,1.0,2.0,282.0,49.0,"On 8 September 2022, Buckingham Palace released a statement which read: ""Following further evaluation this morning, the Queen's doctors are concerned for Her Majesty's health and have recommended she remain under medical supervision. The Queen remains comfortable and at Balmoral."" "
Elizabeth II Death,0.66,3.0,353.0,71.0,"Her immediate family rushed to Balmoral to be by her side. She died peacefully at 15:10 BST at the age of 96, with two of her children, Charles and Anne, by her side; Charles immediately succeeded as monarch. Her death was announced to the public at 18:30, setting in motion Operation London Bridge and, because she died in Scotland, Operation Unicorn. "
Elizabeth II Death,0.39,2.0,138.0,29.0,"Elizabeth was the first monarch to die in Scotland since James V in 1542. Her death certificate recorded her cause of death as ""old age"". "
Elizabeth II Death,0.88,3.0,351.0,73.0,"On 12 September, Elizabeth's coffin was carried up the Royal Mile in a procession to St Giles' Cathedral, where the Crown of Scotland was placed on it. Her coffin lay at rest at the cathedral for 24 hours, guarded by the Royal Company of Archers, during which around 33,000 people filed past the coffin. It was taken by air to London on 13 September. "
Elizabeth II Death,0.67,3.0,358.0,65.0,"On 14 September, her coffin was taken in a military procession from Buckingham Palace to Westminster Hall, where Elizabeth lay in state for four days. The coffin was guarded by members of both the Sovereign's Bodyguard and the Household Division. An estimated 250,000 members of the public filed past the coffin, as did politicians and other public figures. "
Elizabeth II Death,0.3,3.0,444.0,85.0,"On 16 September, Elizabeth's children held a vigil around her coffin, and the next day her eight grandchildren did the same. Elizabeth's state funeral was held at Westminster Abbey on 19 September, which marked the first time that a monarch's funeral service had been held at the Abbey since George II in 1760. More than a million people lined the streets of central London, and the day was declared a holiday in several Commonwealth countries."
NASA: Astrophysics missions,0.32,3.0,347.0,54.0,"The NASA Science Mission Directorate Astrophysics division manages the agency's astrophysics science portfolio. NASA has invested significant resources in the development, delivery, and operations of various forms of space telescopes. These telescopes have provided the means to study the cosmos over a large range of the electromagnetic spectrum."
NASA: Astrophysics missions,0.14,2.0,325.0,59.0,"The Great Observatories that were launched in the 1980s and 1990s have provided a wealth of observations for study by physicists across the planent. The first of them, the Hubble Space Telescope, was delivered to orbit in 1990 and continues to function, in part due to prior servicing missions performed by the Space Shuttle."
NASA: Astrophysics missions,0.13,1.0,249.0,41.0,"The other remaining active great observatories include the Chandra X-ray Observatory (CXO), launched by STS-93 in July 1999 and is now in a 64-hour elliptical orbit studying X-ray sources that are not readily viewable from terrestrial observatories."
NASA: Astrophysics missions,0.09,3.0,479.0,83.0,"The Imaging X-ray Polarimetry Explorer (IXPE) is a space observatory designed to improve the understanding of X-ray production in objects such as neutron stars and pulsar wind nebulae, as well as stellar and supermassive black holes. IXPE launched in December 2021 and is an international collaboration between NASA and the Italian Space Agency (ASI). It is part of the NASA Small Explorers program (SMEX) which designs low-cost spacecraft to study heliophysics and astrophysics."
