narrative,Jaccard,# Sentences,# Characters,# Tokens
Napoleon: Early career,1.0,2.0,204.0,35.0
Napoleon: Early career,0.74,4.0,475.0,84.0
Napoleon: Early career,0.29,3.0,721.0,120.0
Napoleon: Early career,0.1,4.0,395.0,80.0
Napoleon: Early career,0.06,1.0,232.0,39.0
Colombo: Geographical considerations,0.37,3.0,564.0,102.0
Colombo: Geographical considerations,0.1,2.0,316.0,54.0
Colombo: Geographical considerations,0.07,1.0,525.0,94.0
Colombo: Geographical considerations,0.08,1.0,444.0,89.0
Elizabeth II Death,1.0,2.0,282.0,49.0
Elizabeth II Death,0.66,3.0,353.0,71.0
Elizabeth II Death,0.39,2.0,138.0,29.0
Elizabeth II Death,0.88,3.0,351.0,73.0
Elizabeth II Death,0.67,3.0,358.0,65.0
Elizabeth II Death,0.3,3.0,444.0,85.0
NASA: Astrophysics missions,0.32,3.0,347.0,54.0
NASA: Astrophysics missions,0.14,2.0,325.0,59.0
NASA: Astrophysics missions,0.13,1.0,249.0,41.0
NASA: Astrophysics missions,0.09,3.0,479.0,83.0
NASA: Astrophysics missions,0.17,3.0,469.0,82.0
NASA: Astrophysics missions,0.13,1.0,202.0,34.0
NASA: Astrophysics missions,0.0,0.0,0.0,0.0
Kilimanjaro: Geology and geography,0.63,3.0,315.0,67.0
Kilimanjaro: Geology and geography,0.02,2.0,361.0,78.0
Kilimanjaro: Geology and geography,0.09,2.0,303.0,62.0
Kilimanjaro: Geology and geography,0.04,1.0,186.0,39.0
Kilimanjaro: Geology and geography,0.06,2.0,344.0,68.0
Kilimanjaro: Geology and geography,0.07,3.0,463.0,85.0
Victor Frankestain narrative,0.54,4.0,423.0,79.0
Victor Frankestain narrative,0.05,2.0,245.0,45.0
Victor Frankestain narrative,0.06,2.0,301.0,55.0
Victor Frankestain narrative,0.09,3.0,462.0,88.0
Victor Frankestain narrative,0.08,2.0,253.0,50.0
Victor Frankestain narrative,0.18,2.0,196.0,37.0
Victor Frankestain narrative,0.12,1.0,126.0,22.0
Pink Floyd: Preceding the band,0.85,3.0,346.0,64.0
Pink Floyd: Preceding the band,0.71,3.0,329.0,58.0
Pink Floyd: Preceding the band,1.0,2.0,353.0,68.0
Pink Floyd: Preceding the band,0.52,1.0,173.0,34.0
Pink Floyd: Preceding the band,0.8,4.0,613.0,120.0
Pink Floyd: Preceding the band,1.0,1.0,148.0,32.0
