narrative,Jaccard,# Paragraphs,Avg sentences,# Characters,# Tokens
calamaro,0.98,5.0,2.4,1750.0,361.0
bruni,0.95,4.0,1.25,1223.0,245.0
gpt-fantasy,1.0,5.0,2.2,1419.0,267.0
gpt-ww2,1.0,10.0,1.5,1884.0,340.0
celacanto,1.0,8.0,1.75,1762.0,368.0
starW,1.0,8.0,2.0,1942.0,376.0
buisnessWoman,0.99,7.0,2.14,2187.0,355.0
naturalPlace,0.88,6.0,2.0,1691.0,299.0
animalFarm,1.0,10.0,1.3,1885.0,338.0
nintendo,1.0,12.0,1.08,2037.0,370.0
expensiveCities,0.95,13.0,1.08,1847.0,357.0
ArcticSea,0.99,8.0,1.62,1898.0,365.0
AdaByron,1.0,5.0,3.0,1921.0,346.0
latin,1.0,6.0,2.83,2001.0,391.0
journeyPiuBreve,1.0,8.0,1.75,1621.0,294.0
Napoleon: Early career,1.0,6.0,2.33,2031.0,358.0
Colombo: Geographical considerations,1.0,6.0,1.17,1852.0,339.0
Elizabeth II Death,0.97,7.0,2.14,1862.0,358.0
NASA: Astrophysics missions,0.99,7.0,1.86,2074.0,353.0
Kilimanjaro: Geology and geography,1.0,11.0,1.18,1977.0,399.0
Victor Frankestain narrative,1.0,8.0,2.0,2006.0,376.0
Pink Floyd: Preceding the band,1.0,6.0,2.33,1967.0,375.0
Spread of Modern English,1.0,10.0,1.3,2026.0,351.0
COVID-19 deaths,1.0,6.0,2.33,2091.0,373.0
Alan Turing: Early life and education (family),1.0,7.0,2.0,1957.0,388.0
Halloween Costumes,1.0,7.0,1.86,1985.0,380.0
Dante: Education and poetry,1.0,9.0,1.44,2107.0,384.0
Mickey Mouse Debut (1928),1.0,6.0,2.67,1934.0,368.0
Rio de Janeiro Geography,1.0,9.0,1.0,1917.0,392.0
Game of Thrones,1.0,6.0,2.0,1873.0,352.0
Medici History – rise to power,1.0,6.0,2.67,1874.0,348.0
Vesuvius,1.0,6.0,2.17,1780.0,348.0
The fellowship of the ring,1.0,8.0,2.12,2080.0,412.0
Mona Lisa (Description),1.0,10.0,1.3,2058.0,386.0
Sweeney Todd (plot),0.96,11.0,1.09,1839.0,351.0
Nintendo (2004–2009: Nintendo DS and Wii),1.0,9.0,1.67,2088.0,376.0
Area 51 History,1.0,6.0,2.5,2051.0,396.0
World War (German offensive in Belgium and France),1.0,9.0,1.89,3213.0,591.0
Area 51 (Environmental lawsuit),1.0,7.0,2.43,2884.0,487.0
The Beatles (Song catalogue),0.97,8.0,1.75,1927.0,371.0
Dracula,1.0,13.0,1.38,2067.0,370.0
Internet (history),1.0,7.0,2.0,2199.0,386.0
Super Mario (1996–2005: Introduction of 3D and open-ended exploration),1.0,6.0,2.5,1894.0,366.0
Twitch History (Founding and initial growth (2007–2013)),1.0,7.0,2.43,2019.0,386.0
Stradivarius Construction,0.99,7.0,2.43,2023.0,375.0
W. Allen Early life and education,1.0,13.0,1.69,1991.0,392.0
"François-René  (Biography; America, France, London)",0.93,11.0,1.27,2061.0,395.0
Gautier (Life and time),1.0,9.0,1.44,2022.0,387.0
"Rambles in Germany and Italy, Travelling and writing (1840)",1.0,6.0,2.67,2065.0,407.0
Le Corricolo (The trip to Italy),0.97,6.0,2.0,1883.0,385.0
Corinne (plot),1.0,9.0,1.78,1969.0,396.0
Stendhal (Life),1.0,10.0,1.7,2056.0,388.0
"Henry James (Late years, 1898–1916)",0.99,10.0,1.3,1288.0,269.0
Joachim du Bellay (Biography),0.94,5.0,2.0,1814.0,358.0
Julien Gracq (Life),1.0,7.0,2.29,1843.0,364.0
Jazz,1.0,12.0,1.25,2156.0,394.0
AI (Knowledge representation),0.98,5.0,2.4,2013.0,356.0
Cyclone Michaung Meteorological history,1.0,13.0,1.08,1799.0,323.0
Steve Vai (Early music career (1978–1986)),0.99,6.0,2.17,2012.0,396.0
Roman Empire (Geography and demography),1.0,6.0,2.67,2072.0,368.0
Apollo 11,0.99,11.0,1.0,1888.0,372.0
Agruculture: Revolution,1.0,9.0,1.0,1807.0,309.0
Medici: Rise to power,1.0,13.0,1.0,1928.0,351.0
Console games: Third and fourth generations,1.0,7.0,1.71,2019.0,350.0
Cotton Early history,1.0,7.0,1.57,1679.0,334.0
Milk (industrialization),0.99,7.0,2.43,1954.0,370.0
Chocolate (Mesoamerican usage),0.98,6.0,2.0,1951.0,371.0
Mongol Empire (Pre-empire context),1.0,12.0,1.0,1717.0,318.0
Mongole Empire (Early organization),0.99,5.0,2.0,1433.0,278.0
Tea Chemical composition,0.98,5.0,2.0,1381.0,257.0
Tea Cultivation and harvesting,0.99,5.0,3.2,1776.0,333.0
Gulliver (4 May 1699 – 13 April 1702),1.0,6.0,2.17,1551.0,302.0
Michelle Obama (Career),0.91,5.0,2.0,1432.0,261.0
